qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,18,1,1,22,1,01:26.6,01:25.2,01:26.7
2,18,9,2,4,2,01:26.1,01:25.3,01:26.9
3,18,5,1,23,3,01:25.7,01:25.5,01:27.1
4,18,13,6,2,4,01:26.0,01:25.7,01:27.2
5,18,2,2,3,5,01:26.0,01:25.5,01:27.2
6,18,15,7,11,6,01:26.4,01:26.1,01:28.5
7,18,3,3,7,7,01:26.3,01:26.1,01:28.7
8,18,14,9,9,8,01:26.4,01:26.1,01:29.0
9,18,10,7,12,9,01:26.9,01:26.2,01:29.6
10,18,20,5,15,10,01:26.7,01:25.8,
11,18,22,11,17,11,01:26.4,01:26.2,
12,18,4,4,5,12,01:26.9,01:26.2,
13,18,18,11,16,13,01:26.7,01:26.3,
14,18,6,3,8,14,01:26.9,01:26.4,
15,18,17,9,10,15,01:26.9,,
16,18,8,6,1,16,01:26.1,,
17,18,21,10,21,17,01:27.2,,
18,18,7,5,14,18,01:27.4,,
19,18,16,10,20,19,01:27.9,,
20,18,11,8,18,20,01:28.2,,
21,18,12,4,6,21,01:28.3,,
22,18,19,8,19,22,01:29.1,,
23,19,13,6,2,1,01:35.3,01:34.4,01:35.7
24,19,8,6,1,2,01:35.6,01:34.2,01:36.2
25,19,5,1,23,3,01:35.2,01:34.8,01:36.6
26,19,1,1,22,4,01:35.4,01:34.6,01:36.7
27,19,15,7,11,5,01:35.2,01:35.0,01:36.7
28,19,9,2,4,6,01:35.8,01:34.8,01:36.7
29,19,2,2,3,7,01:35.7,01:34.6,01:36.8
30,19,17,9,10,8,01:35.4,01:35.0,01:37.0
31,19,4,4,5,9,01:36.0,01:35.1,01:38.5
32,19,10,7,12,10,01:35.9,01:35.0,01:39.7
33,19,18,11,16,11,01:35.8,01:35.2,
34,19,14,9,9,12,01:36.1,01:35.4,
35,19,12,4,6,13,01:36.1,01:35.6,
36,19,22,11,17,14,01:36.2,01:35.6,
37,19,20,5,15,15,01:36.1,01:35.6,
38,19,3,3,7,16,01:35.8,01:35.7,
39,19,21,10,21,17,01:36.2,,
40,19,6,3,8,18,01:36.4,,
41,19,7,5,14,19,01:36.7,,
42,19,11,8,18,20,01:37.1,,
43,19,16,10,20,21,01:37.1,,
44,19,19,8,19,22,01:37.5,,
45,20,9,2,4,1,01:32.9,01:31.7,01:33.1
46,20,13,6,2,2,01:31.9,01:31.2,01:33.1
47,20,1,1,22,3,01:32.7,01:31.9,01:33.3
48,20,8,6,1,4,01:32.7,01:31.9,01:33.4
49,20,5,1,23,5,01:33.1,01:31.7,01:33.5
50,20,2,2,3,6,01:33.1,01:31.9,01:33.7
51,20,15,7,11,7,01:32.5,01:32.2,01:34.0
52,20,3,3,7,8,01:32.9,01:32.2,01:34.0
53,20,18,11,16,9,01:32.8,01:32.4,01:35.1
54,20,4,4,5,10,01:32.9,01:32.3,01:35.1
55,20,17,9,10,11,01:33.2,01:32.4,
56,20,22,11,17,12,01:32.9,01:32.5,
57,20,10,7,12,13,01:32.8,01:32.5,
58,20,12,4,6,14,01:33.0,01:32.8,
59,20,7,5,14,15,01:33.4,01:32.9,
60,20,6,3,8,16,01:33.4,01:32.9,
61,20,14,9,9,17,01:33.4,,
62,20,21,10,21,18,01:33.5,,
63,20,20,5,15,19,01:33.6,,
64,20,16,10,20,20,01:33.8,,
65,20,19,8,19,21,01:34.1,,
66,20,11,8,18,22,01:35.7,,
67,21,8,6,1,1,01:20.7,01:20.8,01:21.8
68,21,4,4,5,2,01:21.3,01:20.8,01:21.9
69,21,13,6,2,3,01:21.5,01:20.6,01:22.1
70,21,9,2,4,4,01:21.4,01:20.6,01:22.1
71,21,1,1,22,5,01:21.4,01:20.8,01:22.1
72,21,5,1,23,6,01:21.4,01:20.8,01:22.2
73,21,17,9,10,7,01:21.5,01:21.0,01:22.4
74,21,15,7,11,8,01:21.2,01:20.9,01:22.5
75,21,2,2,3,9,01:21.5,01:20.8,01:22.5
76,21,12,4,6,10,01:21.4,01:20.9,01:22.7
77,21,22,11,17,11,01:21.5,01:21.0,
78,21,6,3,8,12,01:21.7,01:21.1,
79,21,18,11,16,13,01:21.8,01:21.2,
80,21,10,7,12,14,01:21.4,01:21.2,
81,21,3,3,7,15,01:21.5,01:21.3,
82,21,7,5,14,16,01:21.5,01:21.7,
83,21,14,9,9,17,01:21.8,,
84,21,20,5,15,18,01:22.1,,
85,21,21,10,21,19,01:22.5,,
86,21,16,10,20,20,01:23.2,,
87,21,19,8,19,21,01:23.3,,
88,21,11,8,18,22,01:23.5,,
89,22,13,6,2,1,01:26.0,01:26.2,01:27.6
90,22,5,1,23,2,01:26.7,01:26.3,01:27.8
91,22,1,1,22,3,01:26.2,01:26.5,01:27.9
92,22,8,6,1,4,01:26.5,01:26.1,01:27.9
93,22,9,2,4,5,01:26.8,01:26.1,01:28.4
94,22,17,9,10,6,01:26.8,01:26.5,01:28.4
95,22,4,4,5,7,01:26.8,01:26.5,01:28.4
96,22,15,7,11,8,01:26.7,01:26.8,01:28.8
97,22,2,2,3,9,01:27.1,01:27.6,01:28.9
98,22,14,9,9,10,01:26.9,01:26.5,01:30.0
99,22,3,3,7,11,01:27.4,01:27.0,
100,22,22,11,17,12,01:27.4,01:27.2,
101,22,18,11,16,13,01:27.4,01:27.3,
102,22,20,5,15,14,01:27.4,01:27.4,
103,22,10,7,12,15,01:26.6,01:27.8,
104,22,6,3,8,16,01:27.5,,
105,22,12,4,6,17,01:27.6,,
106,22,7,5,14,18,01:27.6,,
107,22,21,10,21,19,01:27.8,,
108,22,16,10,20,20,01:28.3,,
109,23,13,6,2,1,01:15.2,01:15.1,01:15.8
110,23,8,6,1,2,01:15.7,01:15.4,01:15.8
111,23,1,1,22,3,01:15.6,01:15.3,01:15.8
112,23,5,1,23,4,01:15.3,01:15.4,01:16.2
113,23,9,2,4,5,01:16.0,01:15.5,01:16.2
114,23,3,3,7,6,01:15.9,01:15.3,01:16.5
115,23,4,4,5,7,01:16.6,01:15.8,01:16.9
116,23,15,7,11,8,01:16.3,01:15.6,01:17.2
117,23,17,9,10,9,01:16.1,01:15.7,01:17.3
118,23,14,9,9,10,01:16.1,01:15.8,
119,23,10,7,12,11,01:16.3,01:15.9,
120,23,18,11,16,12,01:16.3,01:16.1,
121,23,2,2,3,13,01:16.6,01:16.5,
